createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount
19022790,2024-1-16,0x214bac183d132c00f5639693fb9c7cfffdf7a341,0.0196114656132237,4622643396979.179,0.0392229312264475,123.62665862436836,9.486832980505138,134,4622643396979.179,0.0196114656132237,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753,0xc1c5795a46f4cf013feec7ed9274490f0a893870,Progressive AI,PROGRESSIVE,4622643396979.179,134,0xc1c5795a46f4cf013feec7ed9274490f0a893870,Progressive AI,PROGRESSIVE,4622643396979.179,134,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753
19022775,2024-1-16,0xc78b136932bd6779d02a48067139c3ee3c5c81e7,9.25045e-11,0.0,0.0,2.5e-15,0.0,6,9.25045e-11,0.0,0x8e3e521c7792f1cc5029d1ecb6973a3785376884,"G, F & Y",𝕏,9.25045e-11,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753,0x8e3e521c7792f1cc5029d1ecb6973a3785376884,"G, F & Y",𝕏,9.25045e-11,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753
19022762,2024-1-16,0x00f1517d7078ad6bafdfa95abf5d143987c1c850,2.0752e-05,0.0,0.0,1.272e-13,0.0,10,2.0752e-05,0.0,0x90724e246c1b38e8ee08b3061206c0c4b27148b5,GFY𝕏,GFY𝕏,2.0752e-05,10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753,0x90724e246c1b38e8ee08b3061206c0c4b27148b5,GFY𝕏,GFY𝕏,2.0752e-05,10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753
19022761,2024-1-16,0xdf30fa4038036752797e0debf55dd0d8189b8905,0.0,9.8e-13,0.0,4.9e-15,0.0,52,9.8e-13,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753,0xf8fc54b146eaf4d54032403bdbc344a3b4193b08,X is just better,BETTER,9.8e-13,52,0xf8fc54b146eaf4d54032403bdbc344a3b4193b08,X is just better,BETTER,9.8e-13,52,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753
19022746,2024-1-16,0x69549c80b3bad98714ee26c7e0d55ad755a59e9a,0.0,4.8304589e-09,0.0,4.7e-15,0.0,5,4.8304589e-09,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753,0xcbfe870ffb48b266b49ce9c77a087c9a6caaad5b,RED,RED,4.8304589e-09,5,0xcbfe870ffb48b266b49ce9c77a087c9a6caaad5b,RED,RED,4.8304589e-09,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753
19022745,2024-1-16,0xb32f6c7b8f6c7d769e4e7ff39e840542254b3451,4.6e-08,2.17e-14,4.35e-14,1.130707e-10,0.0,33,4.6e-08,2.17e-14,0x3fc5413107a388b97d8cdb04fd724f47dc0d6d80,Nite AI,NITE,4.6e-08,33,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753,0x3fc5413107a388b97d8cdb04fd724f47dc0d6d80,Nite AI,NITE,4.6e-08,33,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753
19022718,2024-1-16,0x3fcf7373eb6a4a01b2665cddc64240345ee577d1,1.198896602519288,751982893.8476552,2.397793205038576,9172.421099322471,29154.759474226503,741,751982893.8476552,1.198896602519288,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753,0xe7f5c477e81f8da4468cc661d0940dd43db0186c,Pump It Up,PUMP,751982893.8476552,741,0xe7f5c477e81f8da4468cc661d0940dd43db0186c,Pump It Up,PUMP,751982893.8476552,741,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753
19022713,2024-1-16,0xd28b938e2cf2a5daad5d60cfafcfab0573feca15,0.0007134554763767,709531.8157460944,0.0007134554763767,1.8178169879074704,22.493817587864097,18,709531.8157460944,0.0007134554763767,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753,0xc8e65a3527ef81f08c635a6ed342a2d323faefb2,Insider Finance,InFi,709531.8157460944,18,0xc8e65a3527ef81f08c635a6ed342a2d323faefb2,Insider Finance,InFi,709531.8157460944,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753
19022671,2024-1-16,0x2ae7dbeedc1f446db74d42c80dcd09e129b7c5d7,3.01912e-11,0.0,0.0,2.5e-15,0.0,9,3.01912e-11,0.0,0x18ef5eb6f0d30455d32909f1fddab315fe1736fe,ChartAI,CX,3.01912e-11,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753,0x18ef5eb6f0d30455d32909f1fddab315fe1736fe,ChartAI,CX,3.01912e-11,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753
19022654,2024-1-16,0x3719c31ca8b9feec0104268059bc5a56b2519352,58711963.62116134,1.5618001430380457,3.123600286076091,6950.176008683594,0.0934344690143836,555,58711963.62116134,1.5618001430380457,0x8a108371cff18a5b05f51334e22ee57d916544cd,Toothless,TOT,58711963.62116134,555,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753,0x8a108371cff18a5b05f51334e22ee57d916544cd,Toothless,TOT,58711963.62116134,555,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294799.78269819,168239753
