createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount
19739314,2024-4-26,0x8c2ccee0a99f2260de8f28f8c9fd54fd1832794d,489227260.0480376,1.780699163366246,3.561398326732492,13320.869494937671,0.8743443257664558,1483,489227260.0480376,1.780699163366246,0x24d56ce62d0593def9639229c4aa329dd8fd5730,Catgirl,CATGIRL,489227260.0480376,1483,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x24d56ce62d0593def9639229c4aa329dd8fd5730,Catgirl,CATGIRL,489227260.0480376,1483,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334
19739298,2024-4-26,0xb2df5e6a404832240c523c1d1bb4854da67619ce,0.00053893,0.0,0.0,6.4e-15,0.0,6,0.00053893,0.0,0x407bd7e37d6875d6f0f9e7bba3d3263fc06d3555,Half Brett,BRETT0.5,0.00053893,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x407bd7e37d6875d6f0f9e7bba3d3263fc06d3555,Half Brett,BRETT0.5,0.00053893,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334
19739279,2024-4-26,0x18df4b5291577441ca61ffc8f4076d90ec25f96a,1e-11,0.0,0.0,3.2e-15,0.0,2,1e-11,0.0,0x044e8c18dd263de8e8d0700720aff6b6f128d3ed,BounceBit USD,BBUSD,1e-11,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x044e8c18dd263de8e8d0700720aff6b6f128d3ed,BounceBit USD,BBUSD,1e-11,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334
19739276,2024-4-26,0xd9e22b5ac7d1203d0d05ec4275ce8df3cb85c7e3,3e-09,4.489e-13,8.978e-13,2.6526629e-09,0.0,354,3e-09,4.489e-13,0x8a1ffb172bff8f585dc5ad19dc8566627b166e8c,BounceBit,BB,3e-09,354,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x8a1ffb172bff8f585dc5ad19dc8566627b166e8c,BounceBit,BB,3e-09,354,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334
19739252,2024-4-26,0xca300d8baed07477a7647710a5ce824075ba627f,0.0,1.1181e-12,0.0,3.2e-15,0.0,5,1.1181e-12,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0xc2caf1cd8686587a2bfcb9d340c8414754be3b7a,BounceBit BTC,BBTC,1.1181e-12,5,0xc2caf1cd8686587a2bfcb9d340c8414754be3b7a,BounceBit BTC,BBTC,1.1181e-12,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334
19739224,2024-4-26,0x72f7e66276a2dce56365c15b61940af28cc49456,4280005512442623.0,3.55568130774e-05,7.11136261548e-05,0.2217924370769895,387298.33462074166,205,4280005512442623.0,3.55568130774e-05,0x9a020e4ae82e8ff6b82c1b88dc73990828c17bea,Neura,Neura,4280005512442623.0,205,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x9a020e4ae82e8ff6b82c1b88dc73990828c17bea,Neura,Neura,4280005512442623.0,205,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334
19739161,2024-4-26,0xc393833b1d80a4afbfcff16458e7671a5114b842,1.6532e-05,0.0,0.0,1.909e-13,0.0,8,1.6532e-05,0.0,0x5ebdf3f9d4dd5e9566fa704ec7b84a086ef45dfe,BNY Mellon,MELLON,1.6532e-05,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x5ebdf3f9d4dd5e9566fa704ec7b84a086ef45dfe,BNY Mellon,MELLON,1.6532e-05,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334
19739153,2024-4-26,0x41c32e9f5e1b9f0505006b6edfe79b10b2fbd6f2,162157927644.1299,0.0050281983897604,0.0050281983897604,15.79208264296684,0.8948742928478827,106,162157927644.1299,0.0050281983897604,0xb00bedceb4aaf0f8c3656a6b8bd17cf14a603ed4,Book of Bitcoin,BOOB,162157927644.1299,106,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0xb00bedceb4aaf0f8c3656a6b8bd17cf14a603ed4,Book of Bitcoin,BOOB,162157927644.1299,106,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334
19739152,2024-4-26,0xe07896092a38a0ca5b4ed6aa69099079ec86ee5e,1.0254e-05,0.0,1e-16,6.144e-13,0.0,71,1.0254e-05,0.0,0x6942022a73ee565d49256e003728cd8e0acd9528,Elon Classic,ELONC,1.0254e-05,71,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x6942022a73ee565d49256e003728cd8e0acd9528,Elon Classic,ELONC,1.0254e-05,71,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334
19739123,2024-4-26,0x2113fedd00e3c825717026067633ce3a3df0685d,2000000026828103.2,2.641566175e-07,5.28313235e-07,0.0016503005167227,0.7211102550927968,54,2000000026828103.2,2.641566175e-07,0x3b3028b0122a329c7edea3327d903c722f4baa55,Puffer Finance,PFF,2000000026828103.2,54,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x3b3028b0122a329c7edea3327d903c722f4baa55,Puffer Finance,PFF,2000000026828103.2,54,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334
19739015,2024-4-26,0x3a9b02085e92dd4612f63834d38c211175344226,0.000437398,0.0,0.0,9.4e-15,0.0,12,0.000437398,0.0,0x5674451e1844635aa2285b9a5c79ac71af4bdaf2,Half Landwolf,LANDWOLF 0.5,0.000437398,12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x5674451e1844635aa2285b9a5c79ac71af4bdaf2,Half Landwolf,LANDWOLF 0.5,0.000437398,12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334
