createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount
19489019,2024-3-22,0x6cb10baec16919026a6fee2fa0faf5d87863ff79,0.0,9.4017e-12,0.0,6.9e-15,0.0,17,9.4017e-12,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0xd9841f377346d9c6a9f1a3715c2518056d4d8701,LMEOW,LMEOW,9.4017e-12,17,0xd9841f377346d9c6a9f1a3715c2518056d4d8701,LMEOW,LMEOW,9.4017e-12,17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19489007,2024-3-22,0x3f2035b9c7e6389d414b2ac2cb8d9c3a71755392,0.0,4.42959e-11,0.0,3.4e-15,0.0,18,4.42959e-11,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0xe8ca16e8ed05ff21cad4192c72674e44f8f5afbb,Byte Doge,BYTE,4.42959e-11,18,0xe8ca16e8ed05ff21cad4192c72674e44f8f5afbb,Byte Doge,BYTE,4.42959e-11,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488886,2024-3-22,0x56e3359ebd6f9607ec9d56f6aa6f550fed75f38c,47506168366.64993,0.0413631468995235,0.0413631468995235,154.99957279659577,43588.98943540674,100,47506168366.64993,0.0413631468995235,0x37610e0f01e16a91d4666ec4e26412c23b2ca5f0,UXLINK,UXUY,47506168366.64993,100,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x37610e0f01e16a91d4666ec4e26412c23b2ca5f0,UXLINK,UXUY,47506168366.64993,100,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488824,2024-3-22,0xad44ca05662e2650a6c8450ba8c9704fa984d877,2.26e-07,4.4e-15,8.8e-15,3.05403e-11,0.0,25,2.26e-07,4.4e-15,0x2a547b9d4fa64bf9ae40be4430ddcd635b9f84e0, Qubic    , QUBIC            ,2.26e-07,25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x2a547b9d4fa64bf9ae40be4430ddcd635b9f84e0, Qubic    , QUBIC            ,2.26e-07,25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488823,2024-3-22,0x705bffb4c3dc4a7af2cc4dc68f1681f8c6fda11b,7.249e-06,1e-16,2e-16,9.307e-13,0.0,25,7.249e-06,1e-16,0x7054a9ccfb418f52fed11c867a1d0b21e1d4e105,ZKSync,ZKSync,7.249e-06,25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x7054a9ccfb418f52fed11c867a1d0b21e1d4e105,ZKSync,ZKSync,7.249e-06,25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488671,2024-3-22,0xbd9aa3b229ccd492eb60225391e94cd86c3b7130,2.947753548354141,5289285.956695147,5.895507096708282,18424.799312601568,3834.253512745344,755,5289285.956695147,2.947753548354141,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0xfa4aed360ad70434aac328cc3edea481b78d1c36,SOKIX,SOKIX,5289285.956695147,755,0xfa4aed360ad70434aac328cc3edea481b78d1c36,SOKIX,SOKIX,5289285.956695147,755,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488668,2024-3-22,0x72cb2661771e9f9303c03b14421ed2702ee5aaba,2000000083349793.2,2.529211922e-07,5.058423844e-07,0.0017389496202079,0.7071067811865465,31,2000000083349793.2,2.529211922e-07,0x99e4c38c56c85cc4609112f48f33b99e7cfe253a,PEPE THICK,PEPETHICK,2000000083349793.2,31,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x99e4c38c56c85cc4609112f48f33b99e7cfe253a,PEPE THICK,PEPETHICK,2000000083349793.2,31,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488632,2024-3-22,0xab0a15ed14206e458f334aa5afadf51c5fac35e4,6e-16,1.655e-06,1.2e-15,4.1355e-12,0.0,28,1.655e-06,6e-16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0xe33a7d59004d8f88381191877fe76a80051faaec,$LADYS,LADYS,1.655e-06,28,0xe33a7d59004d8f88381191877fe76a80051faaec,$LADYS,LADYS,1.655e-06,28,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488599,2024-3-22,0xb40b32373278a9ae2a062e8f49aded0e77f86c7c,117925188717336.77,0.0034668695307594,0.0034668695307594,11.57752315310323,20.0,45,117925188717336.77,0.0034668695307594,0x1a2d73a3c991da558bcaee1f02408fe5a9471afa,GAIMIN,GMRX,117925188717336.77,45,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x1a2d73a3c991da558bcaee1f02408fe5a9471afa,GAIMIN,GMRX,117925188717336.77,45,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488494,2024-3-22,0xa3276d311c17cb87c9ca674e4d5cd403034ff827,0.0,1.96689e-11,0.0,7e-15,0.0,26,1.96689e-11,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0xe7696a77d9e3fab6232de589ccd0ba69727f8613,BRO Crypto,BRO,1.96689e-11,26,0xe7696a77d9e3fab6232de589ccd0ba69727f8613,BRO Crypto,BRO,1.96689e-11,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
